,cod,nome,período,valor,classe,taxa
141,2,NE,2010,1085,MN,5.461
142,3,SE,2010,806,MN,4.6
143,1,N,2010,346,MN,5.694
144,5,CO,2010,270,MN,6.564
145,4,S,2011,81,MN,3.017
146,2,NE,2011,1178,MN,5.88
147,3,SE,2011,789,MN,4.408
148,1,N,2011,323,MN,5.289
149,5,CO,2011,343,MN,8.354
150,4,S,2012,125,MN,4.41
151,2,NE,2012,1128,MN,5.473
152,3,SE,2012,920,MN,4.904
153,1,N,2012,403,MN,6.366
154,5,CO,2012,341,MN,7.88
155,4,S,2013,108,MN,3.559
156,2,NE,2013,1182,MN,5.894
157,3,SE,2013,854,MN,4.586
158,1,N,2013,378,MN,5.693
159,5,CO,2013,359,MN,8.051
160,4,S,2014,135,MN,4.484
161,2,NE,2014,1203,MN,5.956
162,3,SE,2014,879,MN,4.72
163,1,N,2014,397,MN,5.82
164,5,CO,2014,378,MN,8.397
165,4,S,2015,122,MN,3.955
166,2,NE,2015,1168,MN,5.722
167,3,SE,2015,808,MN,4.211
168,1,N,2015,457,MN,6.64
169,5,CO,2015,347,MN,7.506
170,4,S,2016,121,MN,3.62
171,2,NE,2016,1249,MN,5.767
172,3,SE,2016,804,MN,3.928
173,1,N,2016,475,MN,6.974
174,5,CO,2016,356,MN,7.306
175,1,N,2017,517,MN,7.541
176,2,NE,2017,1524,MN,6.946
177,3,SE,2017,803,MN,3.797
178,4,S,2017,117,MN,3.344
179,5,CO,2017,327,MN,6.547
180,4,S,2000,324,MNN,2.881
181,1,N,2000,47,MNN,3.595
182,2,NE,2000,154,MNN,2.074
183,3,SE,2000,1111,MNN,4.462
184,5,CO,2000,129,MNN,4.662
185,5,CO,2001,112,MNN,4.009
186,4,S,2001,366,MNN,3.198
187,3,SE,2001,1032,MNN,4.057
188,1,N,2001,67,MNN,4.825
189,2,NE,2001,143,MNN,1.886
190,3,SE,2002,1058,MNN,4.124
191,1,N,2002,43,MNN,2.97
192,5,CO,2002,141,MNN,4.887
193,4,S,2002,390,MNN,3.416
194,2,NE,2002,149,MNN,1.894
195,4,S,2003,394,MNN,3.406
196,5,CO,2003,128,MNN,4.543
197,1,N,2003,56,MNN,3.988
198,2,NE,2003,130,MNN,1.732
199,3,SE,2003,1062,MNN,4.157
200,4,S,2004,432,MNN,3.695
201,3,SE,2004,950,MNN,3.72
202,2,NE,2004,134,MNN,1.696
203,5,CO,2004,135,MNN,4.652
204,1,N,2004,55,MNN,3.14
205,2,NE,2005,119,MNN,1.507
206,1,N,2005,62,MNN,3.429
207,3,SE,2005,889,MNN,3.615
208,4,S,2005,425,MNN,3.665
209,5,CO,2005,136,MNN,4.543
210,1,N,2006,81,MNN,4.412
211,5,CO,2006,114,MNN,3.839
212,2,NE,2006,121,MNN,1.528
213,3,SE,2006,931,MNN,3.705
214,4,S,2006,394,MNN,3.384
215,1,N,2007,63,MNN,3.189
216,3,SE,2007,746,MNN,2.959
217,2,NE,2007,151,MNN,1.849
218,5,CO,2007,144,MNN,4.848
219,4,S,2007,414,MNN,3.597
220,4,S,2008,502,MNN,4.295
221,3,SE,2008,747,MNN,2.995
222,1,N,2008,68,MNN,3.629
223,5,CO,2008,121,MNN,3.957
224,2,NE,2008,141,MNN,1.739
225,4,S,2009,542,MNN,4.609
226,2,NE,2009,163,MNN,2.011
227,5,CO,2009,137,MNN,4.49
228,3,SE,2009,722,MNN,2.887
229,1,N,2009,72,MNN,3.766
230,3,SE,2010,727,MNN,2.9
231,1,N,2010,56,MNN,2.799
232,5,CO,2010,122,MNN,3.826
233,4,S,2010,562,MNN,4.752
234,2,NE,2010,159,MNN,1.921
235,2,NE,2011,154,MNN,1.822
236,1,N,2011,75,MNN,3.588
237,5,CO,2011,148,MNN,4.45
238,4,S,2011,468,MNN,3.935
239,3,SE,2011,712,MNN,2.833
240,2,NE,2012,155,MNN,1.935
241,3,SE,2012,660,MNN,2.689
242,1,N,2012,90,MNN,4.572
243,4,S,2012,535,MNN,4.512
244,5,CO,2012,145,MNN,4.585
245,4,S,2013,478,MNN,4.045
246,3,SE,2013,719,MNN,2.903
247,5,CO,2013,140,MNN,4.466
248,2,NE,2013,194,MNN,2.434
249,1,N,2013,110,MNN,5.863
250,4,S,2014,502,MNN,4.21
251,1,N,2014,74,MNN,4.09
252,3,SE,2014,701,MNN,2.779
253,5,CO,2014,163,MNN,5.152
254,2,NE,2014,180,MNN,2.274
255,3,SE,2015,662,MNN,2.672
256,1,N,2015,84,MNN,4.522
257,4,S,2015,495,MNN,4.109
258,5,CO,2015,139,MNN,4.462
259,2,NE,2015,159,MNN,2.057
260,3,SE,2016,584,MNN,2.405
261,4,S,2016,520,MNN,4.42
262,5,CO,2016,125,MNN,4.054
263,1,N,2016,84,MNN,4.414
264,2,NE,2016,175,MNN,2.261
265,1,N,2017,88,MNN,4.374
266,5,CO,2017,121,MNN,3.887
267,4,S,2017,531,MNN,4.536
268,2,NE,2017,199,MNN,2.6
269,3,SE,2017,605,MNN,2.518
270,4,S,2000,628,HN,34.26
271,1,N,2000,1647,HN,51.14
272,2,NE,2000,5999,HN,35.08
273,3,SE,2000,11782,HN,94.36
274,5,CO,2000,1839,HN,56.21
275,5,CO,2001,2005,HN,58.6
276,4,S,2001,694,HN,37.5
277,3,SE,2001,12083,HN,94.37
278,1,N,2001,1793,HN,50.91
279,2,NE,2001,7082,HN,40.51
280,3,SE,2002,12795,HN,96.88
281,1,N,2002,2174,HN,60.35
282,5,CO,2002,2016,HN,58.44
283,4,S,2002,740,HN,37.7
284,2,NE,2002,7521,HN,42.79
285,4,S,2003,804,HN,38.98
286,5,CO,2003,2186,HN,60.38
287,1,N,2003,2439,HN,64.72
288,2,NE,2003,8036,HN,44.21
289,3,SE,2003,13288,HN,96.22
290,4,S,2004,945,HN,46.34
291,3,SE,2004,12515,HN,88.45
292,2,NE,2004,8054,HN,44.67
293,5,CO,2004,2222,HN,61.07
294,1,N,2004,2455,HN,44.21
295,2,NE,2005,9113,HN,49.67
296,1,N,2005,2887,HN,51.87
297,3,SE,2005,11441,HN,74.83
298,4,S,2005,1062,HN,47.2
299,5,CO,2005,2334,HN,63.65
300,1,N,2006,3191,HN,55.28
301,5,CO,2006,2469,HN,64.71
302,2,NE,2006,10580,HN,56.87
303,3,SE,2006,10988,HN,72.25
304,4,S,2006,903,HN,37.08
305,1,N,2007,3184,HN,55.63
306,3,SE,2007,9978,HN,63.23
307,2,NE,2007,11810,HN,63.13
308,5,CO,2007,2422,HN,60.02
309,4,S,2007,1074,HN,41.72
310,4,S,2008,1179,HN,46.4
311,3,SE,2008,9160,HN,56.49
312,1,N,2008,3952,HN,65.54
313,5,CO,2008,2817,HN,70.67
314,2,NE,2008,13328,HN,70.82
315,4,S,2009,1135,HN,42.79
316,2,NE,2009,13978,HN,72.95
317,5,CO,2009,3075,HN,76.0
318,3,SE,2009,9098,HN,54.83
319,1,N,2009,4211,HN,69.34
320,3,SE,2010,9130,HN,53.82
321,1,N,2010,4899,HN,80.24
322,5,CO,2010,3036,HN,74.39
